"persona","cognome","nome","dataNascita","nato","luogoNascita","genere","collegio","nomeGruppo","sigla","commissione","aggiornamento","descrizione"
"http://dati.camera.it/ocd/persona.rdf/p309220","PANDOLFO","ALBERTO","19851129","nato a GENOVA, GENOVA, LIGURIA, il 29.11.1985","GENOVA","male","LIGURIA - P01",,,"X COMMISSIONE (ATTIVITA'  PRODUTTIVE, COMMERCIO E TURISMO)",2025-01-15 13:12:08,"Laurea in ingegneria edile - architettura; Ingegnere"
"http://dati.camera.it/ocd/persona.rdf/p305733","PASTORINO","LUCA","19710930","nato a GENOVA, GENOVA, LIGURIA, il 30.09.1971","GENOVA","male","LIGURIA - P01",,,"COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CAUSE DEL DISASTRO DELLA NAVE ""MOBY PRINCE""",2025-04-07 13:17:11,"Laurea in economia aziendale; Funzionario amministrativo, Sindaco del Comune di Bogliasco"
"http://dati.camera.it/ocd/persona.rdf/p305733","PASTORINO","LUCA","19710930","nato a GENOVA, GENOVA, LIGURIA, il 30.09.1971","GENOVA","male","LIGURIA - P01",,,"COMITATO CONSULTIVO SULLA CONDOTTA DEI DEPUTATI",2025-04-07 13:17:11,"Laurea in economia aziendale; Funzionario amministrativo, Sindaco del Comune di Bogliasco"
"http://dati.camera.it/ocd/persona.rdf/p305733","PASTORINO","LUCA","19710930","nato a GENOVA, GENOVA, LIGURIA, il 30.09.1971","GENOVA","male","LIGURIA - P01",,,"COMMISSIONE PARLAMENTARE DI INCHIESTA SULLA SCOMPARSA DI EMANUELA ORLANDI E DI MIRELLA GREGORI",2025-04-07 13:17:11,"Laurea in economia aziendale; Funzionario amministrativo, Sindaco del Comune di Bogliasco"
"http://dati.camera.it/ocd/persona.rdf/p305733","PASTORINO","LUCA","19710930","nato a GENOVA, GENOVA, LIGURIA, il 30.09.1971","GENOVA","male","LIGURIA - P01",,,"IX COMMISSIONE (TRASPORTI, POSTE E TELECOMUNICAZIONI)",2025-04-07 13:17:11,"Laurea in economia aziendale; Funzionario amministrativo, Sindaco del Comune di Bogliasco"
"http://dati.camera.it/ocd/persona.rdf/p308761","PISANO","CALOGERO","19810620","nato a AGRIGENTO, AGRIGENTO, SICILIA, il 20.06.1981","AGRIGENTO","male","SICILIA 1 - P02",,,"COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE CONDIZIONI DI LAVORO IN ITALIA, SULLO SFRUTTAMENTO E SULLA TUTELA DELLA SALUTE E DELLA SICUREZZA NEI LUOGHI DI LAVORO PUBBLICI E PRIVATI",2025-04-02 13:13:25,"Laurea in economia dell'ambiente e della cultura"
"http://dati.camera.it/ocd/persona.rdf/p308761","PISANO","CALOGERO","19810620","nato a AGRIGENTO, AGRIGENTO, SICILIA, il 20.06.1981","AGRIGENTO","male","SICILIA 1 - P02",,,"COMMISSIONE PARLAMENTARE DI INCHIESTA SULLE ATTIVITA' ILLECITE CONNESSE AL CICLO DEI RIFIUTI E SU ALTRI ILLECITI AMBIENTALI E AGROALIMENTARI",2025-04-02 13:13:25,"Laurea in economia dell'ambiente e della cultura"
"http://dati.camera.it/ocd/persona.rdf/p308761","PISANO","CALOGERO","19810620","nato a AGRIGENTO, AGRIGENTO, SICILIA, il 20.06.1981","AGRIGENTO","male","SICILIA 1 - P02",,,"XIV COMMISSIONE (POLITICHE DELL'UNIONE EUROPEA)",2025-04-02 13:13:25,"Laurea in economia dell'ambiente e della cultura"
"http://dati.camera.it/ocd/persona.rdf/p307496","PELLA","ROBERTO","19700306","nato a BIELLA, BIELLA, PIEMONTE, il 06.03.1970","BIELLA","male","PIEMONTE 1 - P02",,,"V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE)",2025-03-26 13:11:02,"DIPLOMA DI RAGIONERIA; Imprenditore del settore tessile"
"http://dati.camera.it/ocd/persona.rdf/p307496","PELLA","ROBERTO","19700306","nato a BIELLA, BIELLA, PIEMONTE, il 06.03.1970","BIELLA","male","PIEMONTE 1 - P02",,,"DELEGAZIONE PRESSO L'ASSEMBLEA PARLAMENTARE DELLA INIZIATIVA CENTRO EUROPEA (INCE)",2025-03-26 13:11:02,"DIPLOMA DI RAGIONERIA; Imprenditore del settore tessile"
