"senatore","nome","cognome","genere","cittaNascita","provinciaNascita","nazioneNascita","dataNascita","cittaResidenza","provinciaResidenza","nazioneResidenza","Professione","inizioMandato","legislatura","tipoMandato"
"http://dati.senato.it/senatore/32","Maria Elisabetta","Alberti Casellati","F","Rovigo","Rovigo","Italia",1946-08-12,"PADOVA","Padova","Italia","Avvocato",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/32578","Alessandro","Alfieri","M","Varese","Varese","Italia",1972-02-02,"MILANO","Milano","Italia","Libero professionista",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/32578","Alessandro","Alfieri","M","Varese","Varese","Italia",1972-02-02,"MILANO","Milano","Italia","Altra professione intellettuale o scientifica",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36381","Vincenza","Aloisio","F","Muro Lucano","Potenza","Italia",1946-12-15,"NAPOLI","Napoli","Italia","Medico",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36381","Vincenza","Aloisio","F","Muro Lucano","Potenza","Italia",1946-12-15,"NAPOLI","Napoli","Italia","Medico, dirigente, insegnante",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36382","Paola","Ambrogio","F","Torino","Torino","Italia",1970-12-02,"TORINO","Torino","Italia","Amministratore locale",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36382","Paola","Ambrogio","F","Torino","Torino","Italia",1970-12-02,"TORINO","Torino","Italia","Funzionario pubblico",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36382","Paola","Ambrogio","F","Torino","Torino","Italia",1970-12-02,"TORINO","Torino","Italia","Funzionario consiglio regionale piemonte",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/31010","Bartolomeo","Amidei","M","Rovigo","Rovigo","Italia",1961-05-23,"LOREO","Rovigo","Italia","Imprenditore",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36383","Renato","Ancorotti","M","Crema","Cremona","Italia",1956-03-19,"CREMA","Cremona","Italia","Imprenditore",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36383","Renato","Ancorotti","M","Crema","Cremona","Italia",1956-03-19,"CREMA","Cremona","Italia","Industriale",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/17542","Alberto","Balboni","M","Ferrara","Ferrara","Italia",1959-06-19,"FERRARA","Ferrara","Italia","Avvocato",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/32583","Alberto","Barachini","M","Pisa","Pisa","Italia",1972-08-21,"MILANO","Milano","Italia","Giornalista",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36431","Michele","Barcaiuolo","M","MODENA","Modena","Italia",1979-02-07,"MODENA","Modena","Italia","Avvocato",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29270","Lorenzo","Basso","M","Genova","Genova","Italia",1976-02-19,"COGOLETO","Genova","Italia","Imprenditore",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29273","Alfredo","Bazoli","M","Brescia","Brescia","Italia",1969-12-15,"CELLATICA","Brescia","Italia","Avvocato",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/32586","Giorgio Maria","Bergesio","M","Bra","Cuneo","Italia",1963-11-22,"CERVERE","Cuneo","Italia","Dirigente industria",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/32586","Giorgio Maria","Bergesio","M","Bra","Cuneo","Italia",1963-11-22,"CERVERE","Cuneo","Italia","Dirigente",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/25558","Anna Maria","Bernini","F","Bologna","Bologna","Italia",1965-08-17,"BOLOGNA","Bologna","Italia","Docente universitario",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/25558","Anna Maria","Bernini","F","Bologna","Bologna","Italia",1965-08-17,"BOLOGNA","Bologna","Italia","Avvocato, professore universitario",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/25558","Anna Maria","Bernini","F","Bologna","Bologna","Italia",1965-08-17,"BOLOGNA","Bologna","Italia","Docente universitario (professore associato) di diritto pubblico comparato presso la facoltà di economia dell'università di bologna, avvocato (diritto commerciale-amministrativo)",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36384","Gianni","Berrino","M","San Remo","Imperia","Italia",1964-05-07,"TAGGIA","Imperia","Italia","Avvocato",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36385","Dolores","Bevilacqua","F","Partinico","Palermo","Italia",1974-08-27,"PALERMO","Palermo","Italia","Giornalista",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36385","Dolores","Bevilacqua","F","Partinico","Palermo","Italia",1974-08-27,"PALERMO","Palermo","Italia","Giornalista, specializzata in recruiting e formazione, specializzata in normativa privacy, antiriciclaggio e tutela del consumatore",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/22871","Michaela","Biancofiore","F","Bolzano","Bolzano","Italia",1970-12-28,"BOLZANO","Bolzano","Italia","Imprenditore",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/22871","Michaela","Biancofiore","F","Bolzano","Bolzano","Italia",1970-12-28,"BOLZANO","Bolzano","Italia","Imprenditrice",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/22871","Michaela","Biancofiore","F","Bolzano","Bolzano","Italia",1970-12-28,"BOLZANO","Bolzano","Italia","Ceo e founder bauking srl",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/32851","Anna","Bilotti","F","BATTIPAGLIA","Salerno","Italia",1982-06-15,"GIFFONI VALLE PIANA","Salerno","Italia","Avvocato",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/32851","Anna","Bilotti","F","BATTIPAGLIA","Salerno","Italia",1982-06-15,"GIFFONI VALLE PIANA","Salerno","Italia","Avvocato penalista",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/36386","Mara","Bizzotto","F","Bassano Del Grappa","Vicenza","Italia",1972-06-03,"TEZZE SUL BRENTA","Vicenza","Italia",,2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/25555","Francesco","Boccia","M","Bisceglie","Barletta-Andria-Trani","Italia",1968-03-18,"BISCEGLIE","Barletta-Andria-Trani","Italia","Docente universitario",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/25555","Francesco","Boccia","M","Bisceglie","Barletta-Andria-Trani","Italia",1968-03-18,"BISCEGLIE","Barletta-Andria-Trani","Italia","Professore in economia delle amministrazioni pubbliche",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/22877","Giulia","Bongiorno","F","Palermo","Palermo","Italia",1966-03-22,"ROMA","Roma","Italia","Avvocato",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29291","Mario Alejandro","Borghese","M","CORDOBA",,"Argentina",1981-04-14,"CORDOBA","Stato Estero","Argentina","Medico",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29291","Mario Alejandro","Borghese","M","CORDOBA",,"Argentina",1981-04-14,"CORDOBA","Stato Estero","Argentina","Docente universitario",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29291","Mario Alejandro","Borghese","M","CORDOBA",,"Argentina",1981-04-14,"CORDOBA","Stato Estero","Argentina","Chirurgo dermatologo",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29292","Stefano","Borghesi","M","Brescia","Brescia","Italia",1977-09-16,"CONCESIO","Brescia","Italia","Commercialista",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29292","Stefano","Borghesi","M","Brescia","Brescia","Italia",1977-09-16,"CONCESIO","Brescia","Italia","Dottore commercialista, revisore legale",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29292","Stefano","Borghesi","M","Brescia","Brescia","Italia",1977-09-16,"CONCESIO","Brescia","Italia","Dottore commercialista e revisore legale",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/33070","Claudio","Borghi","M","Milano","Milano","Italia",1970-06-06,"MILANO","Milano","Italia","Giornalista",2022-10-13,19,"elettivo"
"http://dati.senato.it/senatore/29293","Enrico","Borghi","M","Premosello-Chiovenda","Verbano Cusio Ossola","Italia",1967-08-06,"VOGOGNA","Verbano Cusio Ossola","Italia","Dirigente",2022-10-13,19,"elettivo"
