"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","","","","","","","","191699","","","","","","","","180842","372541"
"1","","","","","","","","197202","","","","","","","","185658","382860"
"2","","","","","","","","206462","","","","","","","","193319","399781"
"3","","","","","","","","210680","","","","","","","","199442","410122"
"4","","","","","","","","215443","","","","","","","","201981","417424"
"5","","","","","","","","223123","","","","","","","","211031","434154"
"6","","","","","","","","233587","","","","","","","","219429","453016"
"7","","","","","","","","243289","","","","","","","","228507","471796"
"8","","","","","","","","249793","","","","","","","","236043","485836"
"9","","","","","","","","256599","","","","","","","","241475","498074"
"10","","","","","","","","264150","","","","","","","","248582","512732"
"11","","","","","","","","267876","","","","","","","","252180","520056"
"12","","","","","","","","279476","","","","","","","","262937","542413"
"13","","","","","","","","284279","","","","","","","","266953","551232"
"14","","","","","","","","293006","","","","","","","","274122","567128"
"15","","","","","","","","297598","","","","","","","","278822","576420"
"16","","","","","","","","301309","","","","","","","","283046","584355"
"17","","","","","","","","302435","","","","","","","","281762","584197"
"18","","","","","","","","305588","","","","","","","","282423","588011"
"19","","","","","","","","308125","","","","","","","","281361","589486"
"20","","","","","","","","313948","","","","","","","","286355","600303"
"21","","","","","","","","309338","","","","","","","","282247","591585"
"22","","","","","","","","307472","","","","","","","","281307","588779"
"23","","","","","","","","311926","","","","","","","","284342","596268"
"24","","","","","","","","321736","","","","","","","","290089","611825"
"25","","","","","","","","320766","","","","","","","","286926","607692"
"26","","","","","","","","325264","","","","","","","","287750","613014"
"27","","","","","","","","321460","","","","","","","","288674","610134"
"28","","","","","","","","321366","","","","","","","","290394","611760"
"29","","","","","","","","318653","","","","","","","","290545","609198"
"30","","","","","","","","320077","","","","","","","","295577","615654"
"31","","","","","","","","323451","","","","","","","","302612","626063"
"32","","","","","","","","336028","","","","","","","","315839","651867"
"33","","","","","","","","332708","","","","","","","","315977","648685"
"34","","","","","","","","339355","","","","","","","","322068","661423"
"35","","","","","","","","335674","","","","","","","","323445","659119"
"36","","","","","","","","343849","","","","","","","","331331","675180"
"37","","","","","","","","335450","","","","","","","","326106","661556"
"38","","","","","","","","335707","","","","","","","","328187","663894"
"39","","","","","","","","344173","","","","","","","","338833","683006"
"40","","","","","","","","349959","","","","","","","","345153","695112"
"41","","","","","","","","355492","","","","","","","","351113","706605"
"42","","","","","","","","366274","","","","","","","","363656","729930"
"43","","","","","","","","366935","","","","","","","","366470","733405"
"44","","","","","","","","376798","","","","","","","","374082","750880"
"45","","","","","","","","385393","","","","","","","","387242","772635"
"46","","","","","","","","405597","","","","","","","","406907","812504"
"47","","","","","","","","416465","","","","","","","","420899","837364"
"48","","","","","","","","433470","","","","","","","","438874","872344"
"49","","","","","","","","452927","","","","","","","","459515","912442"
"50","","","","","","","","470102","","","","","","","","477420","947522"
"51","","","","","","","","465505","","","","","","","","475554","941059"
"52","","","","","","","","469896","","","","","","","","478973","948869"
"53","","","","","","","","471915","","","","","","","","485101","957016"
"54","","","","","","","","466702","","","","","","","","479631","946333"
"55","","","","","","","","477236","","","","","","","","492542","969778"
"56","","","","","","","","472027","","","","","","","","488383","960410"
"57","","","","","","","","471662","","","","","","","","491004","962666"
"58","","","","","","","","475994","","","","","","","","493371","969365"
"59","","","","","","","","472999","","","","","","","","491563","964562"
"60","","","","","","","","476801","","","","","","","","497612","974413"
"61","","","","","","","","442974","","","","","","","","468001","910975"
"62","","","","","","","","424643","","","","","","","","451751","876394"
"63","","","","","","","","412831","","","","","","","","442136","854967"
"64","","","","","","","","397726","","","","","","","","427089","824815"
"65","","","","","","","","384775","","","","","","","","414790","799565"
"66","","","","","","","","363340","","","","","","","","395959","759299"
"67","","","","","","","","356572","","","","","","","","390524","747096"
"68","","","","","","","","346381","","","","","","","","380810","727191"
"69","","","","","","","","336040","","","","","","","","372529","708569"
"70","","","","","","","","326786","","","","","","","","365976","692762"
"71","","","","","","","","308760","","","","","","","","345622","654382"
"72","","","","","","","","298293","","","","","","","","339098","637391"
"73","","","","","","","","292722","","","","","","","","335444","628166"
"74","","","","","","","","297816","","","","","","","","344479","642295"
"75","","","","","","","","293867","","","","","","","","342796","636663"
"76","","","","","","","","299005","","","","","","","","354057","653062"
"77","","","","","","","","284836","","","","","","","","341124","625960"
"78","","","","","","","","274956","","","","","","","","336079","611035"
"79","","","","","","","","203718","","","","","","","","254472","458190"
"80","","","","","","","","201101","","","","","","","","256996","458097"
"81","","","","","","","","191885","","","","","","","","253915","445800"
"82","","","","","","","","181002","","","","","","","","245179","426181"
"83","","","","","","","","171617","","","","","","","","239388","411005"
"84","","","","","","","","175612","","","","","","","","252525","428137"
"85","","","","","","","","160321","","","","","","","","235904","396225"
"86","","","","","","","","140613","","","","","","","","216137","356750"
"87","","","","","","","","116539","","","","","","","","186374","302913"
"88","","","","","","","","95027","","","","","","","","160719","255746"
"89","","","","","","","","83354","","","","","","","","148270","231624"
"90","","","","","","","","67743","","","","","","","","128045","195788"
"91","","","","","","","","53221","","","","","","","","107577","160798"
"92","","","","","","","","40883","","","","","","","","89911","130794"
"93","","","","","","","","31829","","","","","","","","74619","106448"
"94","","","","","","","","24342","","","","","","","","63252","87594"
"95","","","","","","","","15947","","","","","","","","45342","61289"
"96","","","","","","","","10793","","","","","","","","33859","44652"
"97","","","","","","","","7286","","","","","","","","24560","31846"
"98","","","","","","","","4503","","","","","","","","17281","21784"
"99","","","","","","","","2767","","","","","","","","11761","14528"
"100 e oltre","","","","","","","","4104","","","","","","","","19444","23548"
"Totale","","","","","","","","28876799","","","","","","","","30057378","58934177"
