regione,absolute_count,percentage
Lombardia,10035481,17.028287338262142
Lazio,5710272,9.689236858266469
Campania,5575025,9.459748627693571
Veneto,4851851,8.232660990582765
Sicilia,4779371,8.109676325844001
Emilia-Romagna,4465678,7.577399443450275
Piemonte,4255702,7.22111042629814
Puglia,3874166,6.573716979198673
Toscana,3660834,6.211733473430876
Calabria,1832147,3.108802215054263
Sardegna,1561339,2.649292956105928
Liguria,1509908,2.562024409028398
Marche,1481252,2.5134006707177736
Abruzzo,1268430,2.1522825371770273
Friuli-Venezia Giulia,1194095,2.0261502930633952
Trentino-Alto Adige/Südtirol,1086095,1.8428949979228522
Umbria,851954,1.44560260848302
Basilicata,529897,0.8991336215656325
Molise,287966,0.4886230955596444
Valle d'Aosta/Vallée d'Aoste,122714,0.20822213229515363
