regione,count,percentage
Lombardia,97,16.03305785123967
Lazio,69,11.40495867768595
Campania,58,9.586776859504132
Sicilia,47,7.768595041322314
Veneto,43,7.107438016528926
Puglia,43,7.107438016528926
Emilia-Romagna,38,6.2809917355371905
Toscana,35,5.785123966942149
Piemonte,34,5.619834710743802
Liguria,21,3.4710743801652892
Calabria,20,3.3057851239669422
Sardegna,15,2.479338842975207
Marche,15,2.479338842975207
Friuli-Venezia Giulia,14,2.3140495867768593
Trentino-Alto Adige,14,2.3140495867768593
Estero,13,2.1487603305785123
Abruzzo,9,1.487603305785124
Umbria,8,1.322314049586777
Basilicata,8,1.322314049586777
Molise,2,0.3305785123966942
Valle d'Aosta,2,0.3305785123966942
