nome,cognome,titolo_studio
Lucio,Malan,Laurea In Lettere E Filosofia
Roberto,Menia,Laurea In Giurisprudenza
Alberto,Balboni,Laurea In Giurisprudenza
Alberto,Losacco,Laurea In Giurisprudenza
Francesco Paolo,Sisto,Laurea In Giurisprudenza
Michaela,Biancofiore,Laurea In Giurisprudenza
Giulia,Bongiorno,Laurea In Giurisprudenza
Giulia,Cosenza,Laurea In Giurisprudenza
Massimo,Garavaglia,Laurea In Economia
Mariastella,Gelmini,Laurea In Giurisprudenza
Antonio,Misiani,Laureato In Economia
Sandra,Zampa,Laurea In Scienze Politiche
Adolfo,Urso,Laurea In Sociologia
Matteo,Salvini,Diploma Di Liceo Classico 
Anna,Rossomando,Laurea In Giurisprudenza
Beatrice,Lorenzin,Diploma Di Liceo Classico
Francesco,Boccia,Aurea In Economia
Anna Maria,Bernini,Laurea In Giurisprudenza
Filippo,Sensi,Laurea In Filosofia E Dottorato Di Ricerca In Filosofia
Nello,Musumeci,Laurea In Scienze Della Comunicazione
Mario,Monti,Laurea In Economia
Graziano,Delrio,Laurea In Medicina
Francesco,Giacobbe,Laurea In Economia E Dottorato Di Ricerca In Contabilità
Franco,Mirabelli,Diploma Di Liceo Scientifico
Mario Alejandro,Borghese,Laurea In Medicina
Silvia,Fregolent,Laurea In Giurisprudenza
Francesca,La Marca,Laurea In Lettere E Dottorato Di Ricerca In Letteratura Francese
Simona Flavia,Malpezzi,Laurea In Lettere
Roberto,Marti,Laurea In Giurisprudenza
Dario,Parrini,Laurea In Scienze Politiche
Ivan,Scalfarotto,Laurea In Giurisprudenza
Carlo,Rubbia,Laurea In Fisica E Dottorato Di Ricerca In Fisica
Elena,Cattaneo,Laurea In Biologia E Dottorato Di Ricerca In Biologia
Matteo,Renzi,Laurea In Giurisprudenza
Maria Elisabetta,Alberti Casellati,Laurea In Giurisprudenza
Liliana,Segre,Laurea Honoris Causa In Giurisprudenza
Alessandro,Alfieri,Laurea In Economia
Alberto,Barachini,Laurea In Lettere
Lucia,Borgonzoni,Diploma Di Istituto Tecnico
Maria Domenica,Castellone,Laurea In Medicina
Luca,Ciriani,Laurea In Lettere
Giovanbattista,Fazzolari,Laurea In Economia
Barbara,Floridia,Laurea In Lettere
Felicia,Gaudiano,Laurea In Economia
Ettore Antonio,Licheri,Laurea In Giurisprudenza
Alessandra,Maiorino,Laurea In Lettere
Gisella,Naturale,Laurea In Lettere
Andrea,Ostellari,Laurea In Giurisprudenza
Elisa,Pirro,Laurea In Biologia
Isabella,Rauti,Laurea In Pedagogia E Dottorato Di Ricerca In Pedagogia
Mario,Turco,Laurea In Economia E Dottorato Di Ricerca In Economia
Julia,Unterberger,Laurea In Giurisprudenza
Francesco,Zaffini,Laurea In Marketing
Paolo,Zangrillo,Laurea In Giurisprudenza
Claudio,Durigon,Diploma Di Ragioneria
Elena,Murelli,Diploma Di Istituto Tecnico
Marco,Scurria,Laurea In Scienze Politiche
Lavinia,Mennuni,Laurea In Giurisprudenza
Vincenza,Aloisio,Laurea In Scienze
Paola,Ambrogio,Laurea In Giurisprudenza
Renato,Ancorotti,Laurea In Controllo Qualità
Costanzo,Della Porta,Laurea In Giurisprudenza
Nicola,Irto,Laurea In Architettura E Dottorato Di Ricerca In Architettura
Elena,Leonardi,Diploma Di Liceo Classico
Guido Quintino,Liris,Laurea In Medicina
Claudio,Lotito,Laurea In Lettere
Luigi,Nave,Laurea In Ingegneria
Antonio,Nicita,Laurea In Economia
Mario,Occhiuto,Laurea In Architettura
Pietro,Patton,Laurea In Economia
Simona,Petrucci,Laurea In Geologia
Luca,Pirondini,Diploma Di Conservatorio (Viola)
Ernesto,Rapani,Laurea In Architettura
Elena,Sironi,Laurea In Giurisprudenza
Ylenia,Zambito,Laurea In Chimica E Dottorato Di Ricerca In Chimica
Susanna Donatella,Campione,Laurea In Giurisprudenza
Sabrina,Licheri,Diploma Di Ragioneria
Marco,Lisei,Laurea In Giurisprudenza
Paolo,Marcheschi,Laurea In Giurisprudenza
Salvo,Pogliese,Laurea In Economia
Antonio Salvatore,Trevisi,Laurea In Economia E Dottorato Di Ricerca In Economia
Ignazio,Zullo,Laurea In Medicina
Cristina,Tajani,Laurea In Economia E Dottorato Di Ricerca In Economia
Marcello,Pera,Laurea In Filosofia
Alessio,Butti,Diploma Di Istituto Tecnico
Claudio,Fazzone,Laurea In Giurisprudenza
Adriano,Paroli,Laurea In Giurisprudenza
Pier Ferdinando,Casini,Laurea In Giurisprudenza
Dario,Franceschini,Laurea In Giurisprudenza
Giorgia,Meloni,Diploma Di Liceo Linguistico
Giovanni,Donzelli,Laurea In Lettere
Federico,Freni,Laurea In Giurisprudenza E Dottorato Di Ricerca In Giurisprudenza
Michela,Di Biase,Laurea In Storia
Chiara,Colosimo,Diploma Di Liceo Classico
